date,anchor,side,entry_time,entry,exit_time,exit,max_favorable,outcome,pnl_dist,pnl_usd,lot,gross_pnl_dist,spread_cost,slippage_cost,date_only
2026-04-01,A1_02h_Asia,SELL,2026-04-01 01:00:00+00:00,4677.65,2026-04-01 01:03:00+00:00,4676.92,4676.82,Trail,0.64,32.0,0.5,0.73,0.04,0.05,2026-04-01
2026-04-01,A2_10h_London,SELL,2026-04-01 07:04:00+00:00,4676.86,2026-04-01 07:06:00+00:00,4675.72,4675.62,Trail,1.0499999999999998,52.5,0.5,1.14,0.04,0.05,2026-04-01
2026-04-01,A3_14h_Overlap,SELL,2026-04-01 11:00:00+00:00,4713.94,2026-04-01 11:25:00+00:00,4731.94,4713.94,SL,-18.09,-904.5,0.5,-18.0,0.04,0.05,2026-04-01
2026-04-01,A4_17h_NYopen,BUY,2026-04-01 14:04:00+00:00,4737.75,2026-04-01 14:06:00+00:00,4739.389999999999,4739.49,Trail,1.5499999999999998,77.5,0.5,1.64,0.04,0.05,2026-04-01
2026-04-02,A1_02h_Asia,SELL,2026-04-02 01:00:00+00:00,4761.16,2026-04-02 01:02:00+00:00,4757.34,4757.24,Trail,3.73,186.5,0.5,3.82,0.04,0.05,2026-04-02
2026-04-02,A2_10h_London,SELL,2026-04-02 07:05:00+00:00,4673.06,2026-04-02 07:07:00+00:00,4665.200000000001,4665.1,Trail,7.7700000000000005,388.5,0.5,7.86,0.04,0.05,2026-04-02
2026-04-02,A3_14h_Overlap,SELL,2026-04-02 11:02:00+00:00,4642.14,2026-04-02 11:05:00+00:00,4637.63,4637.53,Trail,4.42,221.0,0.5,4.51,0.04,0.05,2026-04-02
2026-04-02,A4_17h_NYopen,BUY,2026-04-02 14:03:00+00:00,4624.8,2026-04-02 14:05:00+00:00,4626.87,4626.97,Trail,1.9799999999999998,99.0,0.5,2.07,0.04,0.05,2026-04-02
2026-04-06,A2_10h_London,BUY,2026-04-06 07:04:00+00:00,4645.62,2026-04-06 07:06:00+00:00,4648.11,4648.21,Trail,2.4000000000000004,120.0,0.5,2.49,0.04,0.05,2026-04-06
2026-04-06,A3_14h_Overlap,BUY,2026-04-06 11:04:00+00:00,4690.63,2026-04-06 11:06:00+00:00,4693.429999999999,4693.53,Trail,2.71,135.5,0.5,2.8,0.04,0.05,2026-04-06
2026-04-06,A4_17h_NYopen,BUY,2026-04-06 14:02:00+00:00,4695.79,2026-04-06 14:09:00+00:00,4696.69,4696.79,Trail,0.81,40.5,0.5,0.9,0.04,0.05,2026-04-06
2026-04-07,A1_02h_Asia,SELL,2026-04-07 01:00:00+00:00,4650.41,2026-04-07 03:02:00+00:00,4649.33,4649.23,Trail,0.9900000000000001,49.5,0.5,1.08,0.04,0.05,2026-04-07
2026-04-07,A2_10h_London,BUY,2026-04-07 07:31:00+00:00,4654.75,2026-04-07 07:33:00+00:00,4657.3099999999995,4657.41,Trail,2.47,123.5,0.5,2.56,0.04,0.05,2026-04-07
2026-04-07,A3_14h_Overlap,BUY,2026-04-07 11:02:00+00:00,4650.61,2026-04-07 11:04:00+00:00,4656.73,4656.83,Trail,6.03,301.5,0.5,6.12,0.04,0.05,2026-04-07
2026-04-07,A4_17h_NYopen,SELL,2026-04-07 14:02:00+00:00,4648.61,2026-04-07 14:04:00+00:00,4646.2300000000005,4646.13,Trail,2.29,114.5,0.5,2.38,0.04,0.05,2026-04-07
2026-04-08,A1_02h_Asia,BUY,2026-04-08 01:00:00+00:00,4705.71,2026-04-08 01:01:00+00:00,4735.71,4746.72,TP,29.91,1495.5,0.5,30.0,0.04,0.05,2026-04-08
2026-04-08,A2_10h_London,SELL,2026-04-08 07:17:00+00:00,4793.44,2026-04-08 07:19:00+00:00,4792.240000000001,4792.14,Trail,1.1099999999999999,55.5,0.5,1.2,0.04,0.05,2026-04-08
2026-04-08,A3_14h_Overlap,BUY,2026-04-08 11:04:00+00:00,4816.08,2026-04-08 11:06:00+00:00,4819.29,4819.39,Trail,3.12,156.0,0.5,3.21,0.04,0.05,2026-04-08
2026-04-08,A4_17h_NYopen,BUY,2026-04-08 14:07:00+00:00,4786.69,2026-04-08 14:09:00+00:00,4789.5,4789.6,Trail,2.72,136.0,0.5,2.81,0.04,0.05,2026-04-08
2026-04-09,A1_02h_Asia,SELL,2026-04-09 01:00:00+00:00,4725.63,2026-04-09 01:02:00+00:00,4724.31,4724.21,Trail,1.23,61.5,0.5,1.32,0.04,0.05,2026-04-09
2026-04-09,A2_10h_London,BUY,2026-04-09 07:05:00+00:00,4717.04,2026-04-09 07:07:00+00:00,4717.91,4718.01,Trail,0.78,39.0,0.5,0.87,0.04,0.05,2026-04-09
2026-04-09,A3_14h_Overlap,SELL,2026-04-09 11:06:00+00:00,4720.31,2026-04-09 13:24:00+00:00,4738.31,4720.29,SL,-18.09,-904.5,0.5,-18.0,0.04,0.05,2026-04-09
2026-04-09,A4_17h_NYopen,BUY,2026-04-09 14:29:00+00:00,4747.36,2026-04-09 14:31:00+00:00,4747.599999999999,4747.7,Trail,0.15,7.5,0.5,0.24,0.04,0.05,2026-04-09
2026-04-10,A1_02h_Asia,BUY,2026-04-10 01:00:00+00:00,4773.85,2026-04-10 01:02:00+00:00,4779.009999999999,4779.11,Trail,5.07,253.5,0.5,5.16,0.04,0.05,2026-04-10
2026-04-10,A2_10h_London,SELL,2026-04-10 07:38:00+00:00,4762.62,2026-04-10 07:42:00+00:00,4761.89,4761.79,Trail,0.64,32.0,0.5,0.73,0.04,0.05,2026-04-10
2026-04-10,A3_14h_Overlap,SELL,2026-04-10 11:17:00+00:00,4746.51,2026-04-10 11:19:00+00:00,4742.3,4742.2,Trail,4.12,206.0,0.5,4.21,0.04,0.05,2026-04-10
2026-04-10,A4_17h_NYopen,BUY,2026-04-10 14:24:00+00:00,4762.06,2026-04-10 14:29:00+00:00,4762.299999999999,4762.4,Trail,0.15,7.5,0.5,0.24,0.04,0.05,2026-04-10
2026-04-13,A2_10h_London,SELL,2026-04-13 07:07:00+00:00,4712.32,2026-04-13 07:09:00+00:00,4712.0,4711.9,Trail,0.23,11.5,0.5,0.32,0.04,0.05,2026-04-13
2026-04-13,A3_14h_Overlap,SELL,2026-04-13 11:06:00+00:00,4733.14,2026-04-13 11:08:00+00:00,4732.39,4732.29,Trail,0.66,33.0,0.5,0.75,0.04,0.05,2026-04-13
2026-04-13,A4_17h_NYopen,BUY,2026-04-13 14:00:00+00:00,4726.44,2026-04-13 14:06:00+00:00,4727.07,4727.17,Trail,0.54,27.0,0.5,0.63,0.04,0.05,2026-04-13
2026-04-14,A1_02h_Asia,BUY,2026-04-14 01:00:00+00:00,4746.16,2026-04-14 01:02:00+00:00,4751.469999999999,4751.57,Trail,5.22,261.0,0.5,5.31,0.04,0.05,2026-04-14
2026-04-14,A2_10h_London,BUY,2026-04-14 07:23:00+00:00,4774.95,2026-04-14 07:27:00+00:00,4776.5,4776.6,Trail,1.46,73.0,0.5,1.55,0.04,0.05,2026-04-14
2026-04-14,A3_14h_Overlap,BUY,2026-04-14 11:06:00+00:00,4781.8,2026-04-14 11:08:00+00:00,4782.129999999999,4782.23,Trail,0.24000000000000002,12.0,0.5,0.33,0.04,0.05,2026-04-14
2026-04-14,A4_17h_NYopen,BUY,2026-04-14 14:08:00+00:00,4774.17,2026-04-14 14:10:00+00:00,4776.92,4777.02,Trail,2.66,133.0,0.5,2.75,0.04,0.05,2026-04-14
2026-04-15,A1_02h_Asia,SELL,2026-04-15 01:00:00+00:00,4839.9,2026-04-15 01:02:00+00:00,4837.01,4836.91,Trail,2.8000000000000003,140.0,0.5,2.89,0.04,0.05,2026-04-15
2026-04-15,A2_10h_London,BUY,2026-04-15 07:15:00+00:00,4826.52,2026-04-15 07:35:00+00:00,4826.94,4827.04,Trail,0.32999999999999996,16.5,0.5,0.42,0.04,0.05,2026-04-15
2026-04-15,A3_14h_Overlap,BUY,2026-04-15 11:18:00+00:00,4812.84,2026-04-15 11:26:00+00:00,4814.23,4814.33,Trail,1.2999999999999998,65.0,0.5,1.39,0.04,0.05,2026-04-15
2026-04-15,A4_17h_NYopen,BUY,2026-04-15 14:11:00+00:00,4803.74,2026-04-15 14:13:00+00:00,4804.33,4804.43,Trail,0.5,25.0,0.5,0.59,0.04,0.05,2026-04-15
2026-04-16,A1_02h_Asia,SELL,2026-04-16 01:00:00+00:00,4790.81,2026-04-16 01:51:00+00:00,4808.81,4790.74,SL,-18.09,-904.5,0.5,-18.0,0.04,0.05,2026-04-16
2026-04-16,A2_10h_London,BUY,2026-04-16 07:18:00+00:00,4829.62,2026-04-16 07:37:00+00:00,4830.16,4830.26,Trail,0.45000000000000007,22.5,0.5,0.54,0.04,0.05,2026-04-16
2026-04-16,A3_14h_Overlap,SELL,2026-04-16 11:04:00+00:00,4813.94,2026-04-16 11:06:00+00:00,4807.6900000000005,4807.59,Trail,6.16,308.0,0.5,6.25,0.04,0.05,2026-04-16
2026-04-16,A4_17h_NYopen,BUY,2026-04-16 15:00:00+00:00,4822.6,2026-04-16 15:03:00+00:00,4823.259999999999,4823.36,Trail,0.5700000000000001,28.5,0.5,0.66,0.04,0.05,2026-04-16
2026-04-17,A1_02h_Asia,SELL,2026-04-17 03:01:00+00:00,4788.67,2026-04-17 03:04:00+00:00,4788.3,4788.2,Trail,0.28,14.0,0.5,0.37,0.04,0.05,2026-04-17
2026-04-17,A2_10h_London,BUY,2026-04-17 07:35:00+00:00,4798.16,2026-04-17 07:37:00+00:00,4798.36,4798.46,Trail,0.11000000000000001,5.5,0.5,0.2,0.04,0.05,2026-04-17
2026-04-17,A3_14h_Overlap,SELL,2026-04-17 11:13:00+00:00,4782.37,2026-04-17 11:15:00+00:00,4782.09,4781.99,Trail,0.19000000000000003,9.5,0.5,0.28,0.04,0.05,2026-04-17
2026-04-17,A4_17h_NYopen,BUY,2026-04-17 14:24:00+00:00,4790.29,2026-04-17 14:26:00+00:00,4791.629999999999,4791.73,Trail,1.25,62.5,0.5,1.34,0.04,0.05,2026-04-17
2026-04-20,A2_10h_London,SELL,2026-04-20 08:06:00+00:00,4786.71,2026-04-20 08:12:00+00:00,4785.240000000001,4785.14,Trail,1.38,69.0,0.5,1.47,0.04,0.05,2026-04-20
2026-04-20,A3_14h_Overlap,BUY,2026-04-20 11:47:00+00:00,4794.48,2026-04-20 11:49:00+00:00,4794.969999999999,4795.07,Trail,0.4,20.0,0.5,0.49,0.04,0.05,2026-04-20
2026-04-20,A4_17h_NYopen,SELL,2026-04-20 14:11:00+00:00,4789.35,2026-04-20 14:13:00+00:00,4787.070000000001,4786.97,Trail,2.19,109.5,0.5,2.28,0.04,0.05,2026-04-20
2026-04-21,A1_02h_Asia,BUY,2026-04-21 01:00:00+00:00,4819.3,2026-04-21 01:02:00+00:00,4830.57,4830.67,Trail,11.18,559.0,0.5,11.27,0.04,0.05,2026-04-21
2026-04-21,A2_10h_London,SELL,2026-04-21 07:15:00+00:00,4792.33,2026-04-21 07:25:00+00:00,4791.200000000001,4791.1,Trail,1.0399999999999998,52.0,0.5,1.13,0.04,0.05,2026-04-21
2026-04-21,A3_14h_Overlap,SELL,2026-04-21 11:06:00+00:00,4779.99,2026-04-21 11:08:00+00:00,4778.400000000001,4778.3,Trail,1.5,75.0,0.5,1.59,0.04,0.05,2026-04-21
2026-04-21,A4_17h_NYopen,SELL,2026-04-21 14:09:00+00:00,4785.1,2026-04-21 14:11:00+00:00,4779.34,4779.24,Trail,5.67,283.5,0.5,5.76,0.04,0.05,2026-04-21
2026-04-22,A1_02h_Asia,BUY,2026-04-22 01:00:00+00:00,4684.43,2026-04-22 01:01:00+00:00,4714.43,4725.36,TP,29.91,1495.5,0.5,30.0,0.04,0.05,2026-04-22
2026-04-22,A2_10h_London,SELL,2026-04-22 07:40:00+00:00,4753.26,2026-04-22 07:58:00+00:00,4752.39,4752.29,Trail,0.78,39.0,0.5,0.87,0.04,0.05,2026-04-22
2026-04-22,A3_14h_Overlap,SELL,2026-04-22 11:16:00+00:00,4756.6,2026-04-22 11:23:00+00:00,4755.35,4755.25,Trail,1.16,58.0,0.5,1.25,0.04,0.05,2026-04-22
2026-04-22,A4_17h_NYopen,SELL,2026-04-22 14:39:00+00:00,4754.85,2026-04-22 14:41:00+00:00,4752.410000000001,4752.31,Trail,2.35,117.5,0.5,2.44,0.04,0.05,2026-04-22
2026-04-23,A1_02h_Asia,BUY,2026-04-23 01:00:00+00:00,4745.12,2026-04-23 01:02:00+00:00,4745.61,4745.71,Trail,0.4,20.0,0.5,0.49,0.04,0.05,2026-04-23
2026-04-23,A2_10h_London,BUY,2026-04-23 08:03:00+00:00,4708.5,2026-04-23 08:08:00+00:00,4709.7,4709.8,Trail,1.1099999999999999,55.5,0.5,1.2,0.04,0.05,2026-04-23
2026-04-23,A3_14h_Overlap,SELL,2026-04-23 11:00:00+00:00,4719.48,2026-04-23 11:06:00+00:00,4719.160000000001,4719.06,Trail,0.23,11.5,0.5,0.32,0.04,0.05,2026-04-23
2026-04-23,A4_17h_NYopen,BUY,2026-04-23 14:21:00+00:00,4702.93,2026-04-23 14:23:00+00:00,4703.25,4703.35,Trail,0.23,11.5,0.5,0.32,0.04,0.05,2026-04-23
2026-04-24,A1_02h_Asia,BUY,2026-04-24 01:00:00+00:00,4701.13,2026-04-24 03:27:00+00:00,4701.469999999999,4701.57,Trail,0.25,12.5,0.5,0.34,0.04,0.05,2026-04-24
2026-04-24,A2_10h_London,SELL,2026-04-24 07:22:00+00:00,4665.26,2026-04-24 07:24:00+00:00,4661.530000000001,4661.43,Trail,3.64,182.0,0.5,3.73,0.04,0.05,2026-04-24
2026-04-24,A3_14h_Overlap,BUY,2026-04-24 11:21:00+00:00,4695.68,2026-04-24 12:16:00+00:00,4696.5599999999995,4696.66,Trail,0.79,39.5,0.5,0.88,0.04,0.05,2026-04-24
2026-04-24,A4_17h_NYopen,BUY,2026-04-24 14:04:00+00:00,4686.52,2026-04-24 14:06:00+00:00,4696.0199999999995,4696.12,Trail,9.41,470.5,0.5,9.5,0.04,0.05,2026-04-24
2026-04-27,A2_10h_London,SELL,2026-04-27 08:04:00+00:00,4721.07,2026-04-27 08:07:00+00:00,4720.530000000001,4720.43,Trail,0.45000000000000007,22.5,0.5,0.54,0.04,0.05,2026-04-27
2026-04-27,A3_14h_Overlap,SELL,2026-04-27 11:30:00+00:00,4707.18,2026-04-27 11:41:00+00:00,4705.42,4705.32,Trail,1.67,83.5,0.5,1.76,0.04,0.05,2026-04-27
2026-04-27,A4_17h_NYopen,SELL,2026-04-27 14:15:00+00:00,4703.11,2026-04-27 14:17:00+00:00,4701.43,4701.33,Trail,1.5899999999999999,79.5,0.5,1.68,0.04,0.05,2026-04-27
2026-04-28,A1_02h_Asia,BUY,2026-04-28 01:05:00+00:00,4685.86,2026-04-28 01:07:00+00:00,4687.9,4688.0,Trail,1.95,97.5,0.5,2.04,0.04,0.05,2026-04-28
2026-04-28,A2_10h_London,SELL,2026-04-28 08:03:00+00:00,4663.09,2026-04-28 08:05:00+00:00,4662.400000000001,4662.3,Trail,0.6,30.0,0.5,0.69,0.04,0.05,2026-04-28
2026-04-28,A3_14h_Overlap,BUY,2026-04-28 11:00:00+00:00,4632.05,2026-04-28 11:33:00+00:00,4634.299999999999,4634.4,Trail,2.16,108.0,0.5,2.25,0.04,0.05,2026-04-28
2026-04-28,A4_17h_NYopen,BUY,2026-04-28 14:02:00+00:00,4608.66,2026-04-28 14:34:00+00:00,4590.66,4608.66,SL,-18.09,-904.5,0.5,-18.0,0.04,0.05,2026-04-28
2026-04-29,A1_02h_Asia,SELL,2026-04-29 02:10:00+00:00,4590.67,2026-04-29 02:12:00+00:00,4589.59,4589.49,Trail,0.9900000000000001,49.5,0.5,1.08,0.04,0.05,2026-04-29
2026-04-29,A2_10h_London,BUY,2026-04-29 07:13:00+00:00,4601.67,2026-04-29 07:15:00+00:00,4603.29,4603.39,Trail,1.53,76.5,0.5,1.62,0.04,0.05,2026-04-29
2026-04-29,A3_14h_Overlap,SELL,2026-04-29 11:05:00+00:00,4567.3,2026-04-29 11:07:00+00:00,4565.25,4565.15,Trail,1.9599999999999997,98.0,0.5,2.05,0.04,0.05,2026-04-29
2026-04-29,A4_17h_NYopen,SELL,2026-04-29 14:30:00+00:00,4564.23,2026-04-29 14:32:00+00:00,4563.79,4563.69,Trail,0.35,17.5,0.5,0.44,0.04,0.05,2026-04-29
2026-04-30,A1_02h_Asia,SELL,2026-04-30 01:00:00+00:00,4541.81,2026-04-30 01:04:00+00:00,4540.26,4540.16,Trail,1.46,73.0,0.5,1.55,0.04,0.05,2026-04-30
2026-04-30,A2_10h_London,SELL,2026-04-30 07:23:00+00:00,4549.68,2026-04-30 07:28:00+00:00,4546.88,4546.78,Trail,2.71,135.5,0.5,2.8,0.04,0.05,2026-04-30
2026-04-30,A3_14h_Overlap,BUY,2026-04-30 11:03:00+00:00,4604.92,2026-04-30 11:05:00+00:00,4627.889999999999,4627.99,Trail,22.88,1144.0,0.5,22.97,0.04,0.05,2026-04-30
2026-04-30,A4_17h_NYopen,BUY,2026-04-30 14:09:00+00:00,4644.83,2026-04-30 14:41:00+00:00,4626.83,4644.83,SL,-18.09,-904.5,0.5,-18.0,0.04,0.05,2026-04-30
